gene,chromosome
BRCA1,17
BRCA2,13
TP53,17
CFTR,7
APC,5
MLH1,3
MSH2,2
MSH6,2
PMS2,7
KRAS,12
NRAS,1
HRAS,11
EGFR,7
ERBB2,17
ALK,2
ROS1,6
RET,10
MET,7
FGFR1,8
FGFR2,10
FGFR3,4
PIK3CA,3
PTEN,10
CDKN2A,9
CDK4,12
RB1,13
VHL,3
WT1,11
NF1,17
NF2,22
SMAD4,18
SMAD2,18
TSC1,9
TSC2,16
FBN1,15
COL1A1,17
COL1A2,7
ELN,7
MYH7,14
MYBPC3,11
TNNT2,1
TNNI3,19
LMNA,1
DMD,X
F8,X
F9,X
G6PD,X
HBB,11
HBA1,16
HBA2,16
GBA,1
HEXA,15
HEXB,5
PAH,12
HFE,6
ATP7B,13
LDLR,19
PCSK9,1
APOB,2
SCN1A,2
SCN2A,2
SCN5A,3
KCNQ1,11
KCNH2,7
RYR1,19
RYR2,1
RYR3,15
CACNA1S,1
CACNA1C,12
CACNA1D,3
SOD1,21
HTT,4
MAPT,17
SNCA,4
PARK2,6
LRRK2,12
GBA1,1
APP,21
PSEN1,14
PSEN2,1
ApoE,19
ABCA4,1
USH2A,1
BEST1,11
RHO,3
RP1,8
RPGR,X
TTR,18
SERPINA1,14
FMR1,X
MECP2,X
UBE3A,15
SMN1,5
SMN2,5
PKD1,16
PKD2,4
